Date,vader_score,date,NIFTY_50_Close,SMA_20,RSI
2015-03-02,-0.119175,02-03-2015,8956.75,8763.2661131,68.09090894410011
2015-03-04,0.0,04-03-2015,8922.650391,8769.5286131,63.15030360262923
2015-03-05,0.0,05-03-2015,8937.75,8778.58862285,56.89090887066523
2015-03-06,-0.1589,06-03-2015,8930.200195,8788.913622850001,62.17119750516671
2015-03-09,0.0,09-03-2015,8756.75,8791.166113100002,47.25657462267366
2015-03-10,0.1909,10-03-2015,8712.049805,8793.7161131,45.15124649115982
2015-03-12,-0.034233333,12-03-2015,8776.0,8806.198632650001,45.379895916448696
2015-03-13,0.0,13-03-2015,8647.75,8807.2161131,41.5545847891738
2015-03-16,0.0772,16-03-2015,8633.150391,8798.59863265,40.056075785172936
2015-03-17,-0.24935,17-03-2015,8723.299805,8798.94111315,48.54934295643271
2015-03-18,0.26335,18-03-2015,8685.900391,8792.768652249999,46.60173374223922
2015-03-19,0.372933333,19-03-2015,8634.650391,8784.03369135,47.75171190757881
2015-03-23,0.0,23-03-2015,8550.900391,8768.12373045,35.562617627620256
2015-03-24,-0.20095,24-03-2015,8542.950195,8753.59125975,38.28893411232035
2015-03-25,0.144333333,25-03-2015,8530.799805,8737.56376955,22.136393150680078
2015-03-26,-0.5423,26-03-2015,8342.150391,8716.92377935,18.413266512513786
2015-03-27,0.0,27-03-2015,8341.400391,8695.88881845,17.03607416208615
2015-03-28,0.1779,28-03-2015,8341.775391,8678.78510755,17.214071859994235
2015-03-29,0.1027,29-03-2015,8341.400391,8653.62514665,21.32746916625895
2015-03-31,0.4588,31-03-2015,8491.0,8639.963916199998,36.67087108545858
2015-04-01,-0.08808,01-04-2015,8586.25,8621.438916199999,38.97440843229997
2015-04-02,0.148,02-04-2015,8538.625,8602.237646649999,43.00366895870386
2015-04-03,0.0,03-04-2015,8586.25,8584.662646649998,47.115236734057156
2015-04-08,0.0,08-04-2015,8714.400391,8573.87265645,49.47705840117071
2015-04-09,0.239166667,09-04-2015,8778.299805,8574.9501467,55.26552745110457
2015-04-10,-0.1806,10-04-2015,8780.349609,8578.3651369,58.79614559114455
2015-04-11,0.0,11-04-2015,8779.324707,8578.53137225,65.32074084610741
2015-04-12,-0.2023,12-04-2015,8780.349609,8585.161352699999,66.07201891347941
2015-04-13,0.0,13-04-2015,8834.0,8595.203833149999,69.43469334900992
2015-04-16,0.7506,16-04-2015,8706.700195,8594.37385265,75.36177825644987
2015-04-17,-0.19088,17-04-2015,8606.0,8590.3788331,66.16074016533864
2015-04-21,-0.22475,21-04-2015,8377.75,8577.53381355,51.718765876510936
2015-04-22,-0.4019,22-04-2015,8429.700195,8571.47380375,54.02057351431092
2015-04-23,0.0,23-04-2015,8398.299805,8564.24128425,45.26991743035223
2015-04-24,0.0,24-04-2015,8305.25,8552.963794,35.62954156476317
2015-04-27,0.0,27-04-2015,8213.799805,8546.546264699999,34.10097299108837
2015-04-28,0.38585,28-04-2015,8285.599609,8543.756225599998,35.62444604043412
2015-04-29,0.3902,29-04-2015,8239.75,8538.654956049999,25.365856280350258
2015-05-01,0.2202,01-05-2015,8262.674805,8534.71867675,22.050567217944376
2015-05-03,0.0,03-05-2015,8239.75,8522.15617675,21.345291959103704
2015-05-04,0.17,04-05-2015,8331.950195,8509.4411865,28.37673841884346
2015-05-05,0.148,05-05-2015,8324.799805,8498.74992675,28.11120755627016
2015-05-06,-0.43035,06-05-2015,8097.0,8474.287426750001,19.664539978867296
2015-05-07,-0.1027,07-05-2015,8057.299805,8441.43239745,21.192824093673636
2015-05-08,0.0,08-05-2015,8191.5,8412.0924072,32.14363238553452
2015-05-11,0.148,11-05-2015,8325.25,8389.33742675,47.5378708017691
2015-05-12,-0.1366,12-05-2015,8126.950195,8356.718701150001,37.515463896932765
2015-05-13,-0.20095,13-05-2015,8235.450195,8329.47373045,43.6860398766498
2015-05-14,0.0,14-05-2015,8224.200195,8298.983740200001,46.64473347326748
2015-05-17,0.4019,17-05-2015,8229.825195,8275.139990200001,50.714160101562605
2015-05-18,0.0,18-05-2015,8373.650391,8263.522509749999,53.68721867671685
2015-05-19,0.0,19-05-2015,8365.650391,8262.917529299999,55.44481029371548
2015-05-20,-0.683,20-05-2015,8423.25,8262.59501955,56.74218162641409
2015-05-21,0.05074,21-05-2015,8421.0,8263.730029299999,57.744730999918744
2015-05-22,0.0,22-05-2015,8458.950195,8271.41503905,55.6904720680311
2015-05-26,-0.0127,26-05-2015,8339.349609,8277.69252925,50.592249646226
2015-05-27,0.152933333,27-05-2015,8334.599609,8280.14252925,61.81733932225013
2015-05-29,0.3818,29-05-2015,8433.650391,8289.8375488,67.6748275215667
2015-05-30,0.5106,30-05-2015,8384.125,8295.91005855,59.828041153033176
2015-05-31,0.4019,31-05-2015,8433.650391,8305.6050781,56.05080404206318
2015-06-01,-0.2199,01-06-2015,8433.400391,8310.677587900002,71.96139111797214
2015-06-02,0.0,02-06-2015,8236.450195,8306.2601074,50.063600904143335
2015-06-03,0.0,03-06-2015,8135.100098,8308.1651123,44.91584316187749
2015-06-04,0.0,04-06-2015,8130.649902,8311.83261715,44.333343204076556
2015-06-05,0.075433333,05-06-2015,8114.700195,8307.9926269,32.672012118808766
2015-06-09,0.6249,09-06-2015,8022.399902,8292.850122,29.35962233847573
2015-06-10,0.0,10-06-2015,8124.450195,8292.725122,32.9443039935628
2015-06-11,-0.296,11-06-2015,7965.350098,8279.22011715,27.941107685775265
2015-06-12,-0.4019,12-06-2015,7982.899902,8267.155102499999,26.489087274215407
2015-06-14,0.6908,14-06-2015,7974.125,8254.37009275,29.74523814156686
2015-06-15,0.0,15-06-2015,8013.899902,8236.3825683,32.87961751431176
2015-06-16,0.7717,16-06-2015,8047.299805,8220.465039,27.820192542320825
2015-06-17,0.0476,17-06-2015,8091.549805,8203.88002925,33.10134108973064
2015-06-18,-0.064,18-06-2015,8174.600098,8191.56003415,35.59552400829308
2015-06-19,0.2235,19-06-2015,8224.950195,8179.8600341500005,39.02085617163404
2015-06-22,-0.07655,22-06-2015,8353.099609,8180.5475341500005,56.624043967346
2015-06-23,0.1591,23-06-2015,8381.549805,8182.8950439499995,65.25815238974644
2015-06-24,0.0,24-06-2015,8360.849609,8179.25500485,63.97097043735617
2015-06-26,0.0,26-06-2015,8381.099609,8179.103735299999,66.08399979139054
2015-06-29,-0.2083,29-06-2015,8318.400391,8173.341235299999,68.53363865198469
2015-07-01,0.0,01-07-2015,8453.049805,8174.323706,69.76780535023461
2015-07-02,-0.17228,02-07-2015,8444.900391,8184.746215800001,85.25079955681622
2015-07-07,-0.020633333,07-07-2015,8510.799805,8203.531201150001,86.22962142270468
2015-07-08,-0.13194,08-07-2015,8363.049805,8215.1511963,72.41583489098836
2015-07-09,0.0,09-07-2015,8328.549805,8225.8436768,68.24591439637804
2015-07-11,-0.20095,11-07-2015,8345.799805,8242.013671949999,67.63980776233227
2015-07-12,-0.6597,12-07-2015,8328.549805,8252.218652450001,64.46713943471468
2015-07-13,-0.1806,13-07-2015,8459.650391,8276.933667100002,66.43608183175198
2015-07-14,0.0,14-07-2015,8454.099609,8300.49365245,63.93261960474056
2015-07-15,-0.091066667,15-07-2015,8523.799805,8327.9773927,61.172949764370514
2015-07-16,0.0,16-07-2015,8608.049805,8357.68488785,63.816043401871205
2015-07-20,-0.250966667,20-07-2015,8603.450195,8385.492407349999,65.09463653468565
2015-07-21,-0.1902,21-07-2015,8529.450195,8407.38742685,58.65170714204451
2015-07-22,-0.1717,22-07-2015,8633.5,8430.332421950001,67.53087137704328
2015-07-23,0.0,23-07-2015,8589.799805,8448.57490245,58.46487153583442
2015-07-27,-0.10548,27-07-2015,8361.0,8448.969922,45.92083046782737
2015-07-28,0.24695,28-07-2015,8337.0,8446.74243175,41.19109819960955
2015-08-01,-0.4019,01-08-2015,8349.0,8446.1499513,49.1742704183241
2015-08-03,-0.20095,03-08-2015,8543.049805,8454.247461100002,60.615650477412686
2015-08-04,-0.083433333,04-08-2015,8516.900391,8464.1724611,58.39386542191383
2015-08-05,0.0,05-08-2015,8567.950195,8469.9174806,61.36753986444906
2015-08-07,0.0,07-08-2015,8564.599609,8475.902441499999,55.67139788020241
2015-08-10,0.0,10-08-2015,8525.599609,8476.6424317,53.72901106563954
2015-08-11,-0.2023,11-08-2015,8462.349609,8481.6074219,46.77341774833892
2015-08-12,-0.091066667,12-08-2015,8349.450195,8482.6524414,36.81822704666189
2015-08-13,0.0,13-08-2015,8355.849609,8483.1549316,37.40200320822404
2015-08-14,0.5719,14-08-2015,8518.549805,8492.6549316,49.49130082640652
2015-08-16,0.0,16-08-2015,8437.199707,8491.5323974,40.64076806821275
2015-08-17,0.0,17-08-2015,8477.299805,8492.6924072,44.617732894290654
2015-08-19,-0.1531,19-08-2015,8495.150391,8491.2599365,58.04114877908286
2015-08-21,-0.31245,21-08-2015,8299.950195,8475.854956,48.15736711912845
2015-08-24,-0.238675,24-08-2015,7809.0,8436.132446250002,31.809604844750652
2015-08-25,-0.148,25-08-2015,7880.700195,8403.69494625,25.683780069737622
